Estacao;Data;Hora;Evaporacao Piche;
83361;16/01/1963;0000;3.1;
83361;17/01/1963;0000;1.3;
83361;18/01/1963;0000;1.9;
83361;19/01/1963;0000;2.4;
83361;20/01/1963;0000;2.5;
83361;21/01/1963;0000;2.4;
83361;22/01/1963;0000;3.1;
83361;23/01/1963;0000;4;
83361;24/01/1963;0000;3.2;
83361;25/01/1963;0000;2.5;
83361;26/01/1963;0000;2.1;
83361;27/01/1963;0000;2.4;
83361;28/01/1963;0000;2.7;
83361;29/01/1963;0000;2.1;
83361;30/01/1963;0000;0.7;
83361;31/01/1963;0000;2.8;
83361;01/02/1963;0000;3.2;
83361;02/02/1963;0000;3.2;
83361;03/02/1963;0000;1.4;
83361;04/02/1963;0000;3.3;
83361;05/02/1963;0000;3.3;
83361;06/02/1963;0000;0.8;
83361;07/02/1963;0000;2.7;
83361;08/02/1963;0000;2.1;
83361;09/02/1963;0000;1.7;
83361;10/02/1963;0000;3.1;
83361;11/02/1963;0000;2.9;
83361;12/02/1963;0000;2.2;
83361;13/02/1963;0000;2.6;
83361;14/02/1963;0000;2.3;
83361;15/02/1963;0000;1.5;
83361;16/02/1963;0000;1.8;
83361;17/02/1963;0000;1.6;
83361;18/02/1963;0000;3.4;
83361;19/02/1963;0000;3.4;
